date,QQQ,BND,DBC,VXX
2003-10-01T00:00:00.000Z,29.0299590247,60.90256663296667,65.50803307376667,25.4350544876
2003-10-02T00:00:00.000Z,29.1262876972,60.85297267466667,65.58726422896666,25.583531498114287
2003-10-03T00:00:00.000Z,29.9407028373,60.54503747207778,65.6394557395111,25.624513355314285
2003-10-06T00:00:00.000Z,30.1596316384,60.661979748966665,65.84696829566667,25.609756581328572
2003-10-07T00:00:00.000Z,30.3435318313,60.51231950428889,65.85559260385556,25.645737718428574
2003-10-08T00:00:00.000Z,30.1508744863,60.619333476866665,65.84988757486667,25.52512577217143
2003-10-09T00:00:00.000Z,30.3785604395,60.4621426085,65.8457398253,25.573788198471426
2003-10-10T00:00:00.000Z,30.6587893048,60.74206549228889,65.99380690105556,25.55258084107143
2003-10-13T00:00:00.000Z,30.8602038019,60.569673587733334,66.08500893763333,25.669663187785716
2003-10-14T00:00:00.000Z,30.9390181702,60.49314347286666,66.12589721366666,25.738083108171427
2003-10-15T00:00:00.000Z,30.8076608896,60.33992759974445,65.94679464047778,25.669248941157147
2003-10-16T00:00:00.000Z,31.0528611468,60.23936016124444,66.01298667917777,25.792980491757145
2003-10-17T00:00:00.000Z,30.3085032231,60.39292154302222,65.79441124138889,25.506628023785716
2003-10-20T00:00:00.000Z,30.685060761,60.41863382108889,66.00136297415555,25.621833506257143
2003-10-21T00:00:00.000Z,30.8689609539,60.51428196376667,66.03694680936667,25.77695972062857
2003-10-22T00:00:00.000Z,30.2734746149,60.63967538317778,65.7577508325111,25.231925479771427
2003-10-23T00:00:00.000Z,29.9231885332,60.49123901701111,65.59776628714445,25.398904490042856
2003-10-24T00:00:00.000Z,29.9494599893,60.76501079907778,65.82533157681111,25.383923586957145
2003-10-27T00:00:00.000Z,29.9582171414,60.66617631852222,65.77700238978889,25.405350822014285
2003-10-28T00:00:00.000Z,30.9652896264,60.98173978458889,66.34523878335555,25.661555617714285
2003-10-29T00:00:00.000Z,30.9302610182,60.768722070933336,66.27393758353334,25.66197836725714
2003-10-30T00:00:00.000Z,30.9915610825,60.786246929755556,66.34403701882222,25.492293999371427
2003-10-31T00:00:00.000Z,30.8076608896,60.69124765548889,66.24164690985556,25.669883065442857
2003-11-03T00:00:00.000Z,31.3155757081,60.6561429388,66.4159649662,25.691103177085715
2003-11-04T00:00:00.000Z,31.1054040591,60.73781689182222,66.39442242498889,25.562590784042854
2003-11-05T00:00:00.000Z,31.3856329245,60.75056224368889,66.44540383245555,25.56508901837143
